PRODUCT_ID,UNIT,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4
0,UN,ADULT,NUTRITION AND DIETETICS,BARS AND NUTRITIOUS SNACKS,DIETARY COOKIES AND SNACKS
2,UN,ADULT,NUTRITION AND DIETETICS,BARS AND NUTRITIOUS SNACKS,DIETARY COOKIES AND SNACKS
3,UN,,,,
4,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
4,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
4,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
4,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
4,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
4,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
4,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
4,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
4,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
5,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
5,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
5,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
5,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
5,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
5,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
6,PC,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
6,PC,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
6,PC,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
6,PC,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
6,PC,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
7,DS,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
7,DS,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
7,DS,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
7,DS,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
8,UN,,,,
9,UN,ADULT,PHARMACY,VITAMINS AND SUPPLEMENTS,VITAMINS AND SUPPLEMENTS
9,UN,ADULT,PHARMACY,VITAMINS AND SUPPLEMENTS,VITAMINS AND SUPPLEMENTS
9,UN,ADULT,PHARMACY,VITAMINS AND SUPPLEMENTS,VITAMINS AND SUPPLEMENTS
9,UN,ADULT,PHARMACY,VITAMINS AND SUPPLEMENTS,VITAMINS AND SUPPLEMENTS
9,UN,ADULT,PHARMACY,VITAMINS AND SUPPLEMENTS,VITAMINS AND SUPPLEMENTS
10,UN,ADULT,PHARMACY,VITAMINS AND SUPPLEMENTS,VITAMINS AND SUPPLEMENTS
10,UN,ADULT,PHARMACY,VITAMINS AND SUPPLEMENTS,VITAMINS AND SUPPLEMENTS
10,UN,ADULT,PHARMACY,VITAMINS AND SUPPLEMENTS,VITAMINS AND SUPPLEMENTS
10,UN,ADULT,PHARMACY,VITAMINS AND SUPPLEMENTS,VITAMINS AND SUPPLEMENTS
10,UN,ADULT,PHARMACY,VITAMINS AND SUPPLEMENTS,VITAMINS AND SUPPLEMENTS
11,UN,ADULT,PHARMACY,VITAMINS AND SUPPLEMENTS,VITAMINS AND SUPPLEMENTS
11,UN,ADULT,PHARMACY,VITAMINS AND SUPPLEMENTS,VITAMINS AND SUPPLEMENTS
11,UN,ADULT,PHARMACY,VITAMINS AND SUPPLEMENTS,VITAMINS AND SUPPLEMENTS
11,UN,ADULT,PHARMACY,VITAMINS AND SUPPLEMENTS,VITAMINS AND SUPPLEMENTS
11,UN,ADULT,PHARMACY,VITAMINS AND SUPPLEMENTS,VITAMINS AND SUPPLEMENTS
11,UN,ADULT,PHARMACY,VITAMINS AND SUPPLEMENTS,VITAMINS AND SUPPLEMENTS
