CUSTOMER_ID,SEX,BIRTH_DATE,FIRST_PURCHASE_DATE
244, ,1900/01/01,2017/04/25
299, ,1900/01/01,2017/05/03
330, ,1900/01/01,2017/07/18
355, ,1900/01/01,2017/05/09
426,F,1900/01/01,2017/05/16
448, ,1900/01/01,2017/05/21
546, ,1991/06/06,2017/03/11
716, ,1900/01/01,2017/07/02
737, ,1900/01/01,2017/04/23
759,F,1900/01/01,2017/04/23
857, ,1900/01/01,2020/09/24
894, ,1900/01/01,2017/05/13
976, ,1900/01/01,2017/05/20
981, ,1900/01/01,2017/05/21
1243, ,1900/01/01,2018/01/18
1444, ,1900/01/01,2017/05/20
1763, ,1997/05/05,2017/04/27
2013, ,1900/01/01,2017/05/29
2113, ,1900/01/01,2017/06/13
2257, ,1900/01/01,2017/06/29
2319, ,1900/01/01,2019/08/06
2588, ,1900/01/01,2017/06/04
2673, ,1990/10/15,2017/06/18
2679, ,1900/01/01,2018/03/03
2819, ,1900/01/01,2020/06/04
2854, ,1900/01/01,2017/07/05
2859, ,1900/01/01,2017/07/05
2959, ,1900/01/01,2017/07/20
3156, ,1982/04/04,2017/06/10
3224, ,1900/01/01,2017/06/17
3234, ,1900/01/01,2017/06/17
3338, ,1989/02/19,2017/07/02
3373,F,1900/01/01,2017/07/03
3403, ,1900/01/01,2017/07/09
3504, ,1900/01/01,2017/05/23
3595, ,1900/01/01,2017/05/31
3763, ,1900/01/01,2017/06/21
3882, ,1900/01/01,2017/07/01
3891, ,1900/01/01,2020/06/06
4105,F,1900/01/01,2017/08/09
4183, ,1900/01/01,2017/11/05
4292, ,1900/01/01,2017/09/09
4330, ,1900/01/01,2017/09/11
4353, ,1900/01/01,2018/02/19
4381, ,1900/01/01,2017/09/21
4408, ,1900/01/01,2017/10/01
4434, ,1982/07/01,2017/10/02
4457, ,1900/01/01,2017/10/03
4817, ,1900/01/01,2017/09/08
4922, ,1900/01/01,2017/10/13
5016, ,1900/01/01,2017/10/10
5155, ,1900/01/01,2017/08/05
5233, ,1900/01/01,2017/08/25
5274, ,1900/01/01,2017/08/29
5343,F,1979/07/14,2017/09/06
5482, ,1900/01/01,2017/10/06
5570, ,1994/11/05,2017/07/24
5630, ,1985/02/08,2017/08/01
5638, ,1900/01/01,2017/08/02
5641, ,1900/01/01,2017/08/02
5669, ,1900/01/01,2017/08/08
5786, ,1900/01/01,2017/08/24
5983, ,1900/01/01,2017/09/24
6076, ,1900/01/01,2017/11/23
6102, ,1900/01/01,2017/10/24
6255, ,1900/01/01,2017/11/30
6325, ,1900/01/01,2017/12/11
6398,O,1900/01/01,2017/12/22
6451, ,1900/01/01,2017/12/30
6636, ,1900/01/01,2017/10/22
6648, ,1900/01/01,2017/11/08
6656, ,1900/01/01,2017/11/08
6712, ,1900/01/01,2017/11/15
6738, ,1900/01/01,2017/11/16
6861,M,1900/01/01,2017/12/09
6972, ,1900/01/01,2017/12/28
7179, ,1900/01/01,2017/10/30
7308, ,1900/01/01,2017/11/25
7585, ,1900/01/01,2018/01/08
7593, ,1900/01/01,2018/01/08
7604, ,1900/01/01,2017/10/14
7607, ,1900/01/01,2017/10/14
7610,O,1900/01/01,2017/10/16
7669, ,1900/01/01,2017/11/10
7682, ,1900/01/01,2017/10/27
7753, ,1900/01/01,2017/11/08
8042,F,1900/01/01,2017/12/26
8153, ,1900/01/01,2018/01/27
8181,F,1900/01/01,2018/02/06
8281, ,1900/01/01,2018/02/20
8378, ,1990/01/10,2018/03/15
8536, ,1900/01/01,2018/04/07
8551, ,1900/01/01,2018/04/08
8558, ,1900/01/01,2018/04/27
8583, ,1900/01/01,2018/04/18
8665,F,1900/01/01,2018/01/25
8783, ,1900/01/01,2018/02/17
8835, ,1900/01/01,2018/03/02
8865,F,1987/11/29,2018/03/03
8957, ,1900/01/01,2018/03/24
8963, ,1900/01/01,2018/03/24
8976, ,1900/01/01,2018/03/24
8982, ,1900/01/01,2018/03/25
8997, ,1900/01/01,2018/03/25
9079, ,1900/01/01,2018/04/14
9248, ,1900/01/01,2018/02/03
9264, ,1900/01/01,2018/02/14
9317, ,1900/01/01,2018/02/16
9390, ,1900/01/01,2018/02/28
9467, ,1900/01/01,2018/03/26
9483, ,1900/01/01,2018/03/22
9499, ,1900/01/01,2018/03/23
9616, ,1900/01/01,2018/04/14
9635, ,1900/01/01,2018/04/14
9683, ,1900/01/01,2018/01/17
9785,F,1900/01/01,2018/02/09
9934, ,1900/01/01,2018/03/07
10010, ,1900/01/01,2018/03/19
10044,F,1900/01/01,2018/03/28
10192, ,1900/01/01,2018/04/29
10210, ,1900/01/01,2018/04/29
10224, ,1989/07/01,2018/05/07
10322, ,1900/01/01,2018/05/19
10405,F,1998/05/30,2018/06/01
10410, ,1900/01/01,2018/06/02
10481, ,1900/01/01,2018/06/22
10484, ,1900/01/01,2018/06/22
10496, ,1900/01/01,2018/06/22
10629, ,1900/01/01,2018/07/14
10650, ,1900/01/01,2018/07/14
10735, ,1900/01/01,2018/04/28
10741, ,1900/01/01,2018/05/05
10815, ,1900/01/01,2018/05/16
10865, ,1900/01/01,2018/05/27
10866, ,1900/01/01,2018/05/27
10883, ,1900/01/01,2018/05/28
11096, ,1900/01/01,2018/07/01
11141, ,1900/01/01,2018/07/10
11229, ,1900/01/01,2018/04/24
11269, ,1900/01/01,2018/05/03
11324, ,1900/01/01,2018/05/13
11485, ,1900/01/01,2018/06/06
11619, ,1900/01/01,2018/06/29
11733, ,1900/01/01,2018/04/21
11788, ,1900/01/01,2018/04/30
11826,F,1900/01/01,2018/05/10
11848, ,1900/01/01,2018/05/11
11962,F,1900/01/01,2018/06/02
11976, ,1900/01/01,2018/06/02
12037, ,1900/01/01,2018/06/14
12127, ,1900/01/01,2018/06/26
12198, ,1900/01/01,2018/07/07
12243, ,1900/01/01,2018/07/27
12259, ,1900/01/01,2018/07/27
12332, ,1900/01/01,2018/08/07
12340, ,1900/01/01,2018/08/14
12361, ,1900/01/01,2018/08/15
12364, ,1900/01/01,2018/08/15
12371, ,1900/01/01,2018/08/16
12377, ,1900/01/01,2018/08/16
12438, ,1900/01/01,2018/08/26
12744,F,1900/01/01,2018/07/23
12791, ,1900/01/01,2018/08/03
12802, ,1978/05/12,2018/08/03
12934, ,1900/01/01,2018/08/23
12972, ,1900/01/01,2018/08/25
13000, ,1983/10/06,2018/09/02
13074, ,1900/01/01,2018/09/14
13162, ,1900/01/01,2018/09/27
13179, ,1993/03/22,2018/10/08
13237, ,1900/01/01,2018/10/11
13240, ,1900/01/01,2018/07/18
13268, ,1900/01/01,2018/07/20
13516, ,1900/01/01,2018/08/31
13552, ,1900/01/01,2018/09/01
13669, ,1900/01/01,2018/09/23
13742, ,1900/01/01,2018/10/08
13743, ,1900/01/01,2018/10/08
13825, ,1900/01/01,2018/07/28
13837, ,1900/01/01,2018/07/29
13879,F,1900/01/01,2018/07/30
13880, ,1900/01/01,2018/07/30
13920,F,1990/08/01,2018/08/09
13990, ,1900/01/01,2018/08/18
14016, ,1900/01/01,2018/08/27
14119, ,1900/01/01,2018/09/08
14139, ,1900/01/01,2018/09/09
14353,F,1900/01/01,2018/10/24
14405, ,1900/01/01,2018/10/30
14471, ,1900/01/01,2018/11/05
14474, ,1900/01/01,2018/11/05
14635, ,1900/01/01,2018/11/20
14677, ,1900/01/01,2020/11/07
14727, ,1900/01/01,2018/12/05
14744, ,1900/01/01,2018/12/06
14776, ,1900/01/01,2018/10/15
14915, ,1900/01/01,2018/10/28
14944, ,1900/01/01,2018/10/29
15052, ,1900/01/01,2018/11/11
15069, ,1900/01/01,2018/11/11
15244, ,1900/01/01,2018/12/04
15252, ,1987/04/27,2018/12/04
15401, ,1900/01/01,2018/10/27
15674, ,1900/01/01,2018/11/24
15690, ,1900/01/01,2018/11/24
16000, ,1900/01/01,2018/11/02
16076, ,1900/01/01,2018/11/09
16094, ,1900/01/01,2018/11/14
16294, ,1900/01/01,2018/12/13
16299, ,1900/01/01,2018/12/13
16320, ,1997/10/06,2018/12/13
16338, ,1900/01/01,2018/12/19
16348, ,1900/01/01,2018/12/19
16454,M,1900/01/01,2019/01/02
16484, ,1900/01/01,2019/01/03
16499, ,1900/01/01,2019/01/03
16702, ,1900/01/01,2019/01/26
16716, ,1900/01/01,2019/01/21
17300, ,1900/01/01,2018/12/09
17328, ,1900/01/01,2018/12/15
17612,F,1900/01/01,2019/01/13
17621, ,1900/01/01,2019/01/14
17831, ,1900/01/01,2018/12/14
17847, ,1900/01/01,2018/12/14
17877,O,1900/01/01,2018/12/20
18006, ,1900/01/01,2019/01/03
18096, ,1900/01/01,2019/01/11
18327, ,1900/01/01,2019/02/06
18636, ,1900/01/01,2019/04/05
18709, ,1900/01/01,2019/03/11
18798, ,1900/01/01,2019/01/31
18815, ,1900/01/01,2019/02/04
19049, ,1900/01/01,2019/02/25
19081, ,1900/01/01,2019/02/26
19436, ,1900/01/01,2019/02/13
19572,F,1988/03/15,2019/02/24
19588, ,1900/01/01,2019/02/25
19645, ,1900/01/01,2019/03/01
19684,M,1972/02/28,2019/03/08
20107, ,1900/01/01,2019/02/28
20212, ,1900/01/01,2021/03/19
20215,O,1900/01/01,2019/04/07
20457, ,1900/01/01,2019/04/02
20800, ,1900/01/01,2019/03/22
21060,F,1900/01/01,2019/04/12
21062, ,1900/01/01,2019/04/12
21071, ,1900/01/01,2019/04/19
21233, ,1900/01/01,2019/03/13
21239, ,1900/01/01,2019/03/13
21371, ,1900/01/01,2019/03/24
21387, ,1900/01/01,2019/03/24
21421, ,1900/01/01,2019/04/06
21627, ,1900/01/01,2019/04/17
21680, ,1900/01/01,2019/04/22
21694, ,1900/01/01,2019/04/22
21699, ,1900/01/01,2019/04/23
21712, ,1900/01/01,2019/03/11
21813, ,1900/01/01,2019/03/17
21848, ,1900/01/01,2019/03/23
21894, ,1900/01/01,2019/03/28
21953, ,1991/06/24,2019/04/03
22024, ,1900/01/01,2019/04/08
22025, ,1900/01/01,2019/04/08
22029, ,1900/01/01,2019/04/08
22183, ,1900/01/01,2019/04/21
22189,F,1972/07/20,2019/04/21
22196, ,1900/01/01,2019/05/02
22214,F,1900/01/01,2020/11/10
22495, ,1900/01/01,2019/06/06
22608,O,1900/01/01,2019/06/16
22783,M,1900/01/01,2019/05/25
23038, ,1991/01/03,2019/06/06
23145, ,1900/01/01,2019/06/26
23552, ,1900/01/01,2019/06/10
23596, ,1900/01/01,2019/06/12
23598, ,1900/01/01,2019/06/18
23825, ,1900/01/01,2019/05/18
23868, ,1900/01/01,2019/05/25
24055, ,1900/01/01,2019/06/17
24088, ,1900/01/01,2019/06/28
24111, ,1900/01/01,2019/06/29
24119,F,1900/01/01,2019/06/29
24286, ,1900/01/01,2019/07/19
24307, ,1900/01/01,2019/07/20
24308, ,1900/01/01,2019/07/20
24337, ,1900/01/01,2019/09/22
24398, ,1900/01/01,2019/08/03
24520, ,1900/01/01,2019/08/18
24678, ,1900/01/01,2019/07/04
25096, ,1900/01/01,2019/07/01
25119, ,1900/01/01,2019/06/26
25434, ,1900/01/01,2019/08/07
25502, ,1900/01/01,2019/08/15
25507, ,1900/01/01,2019/08/15
25511, ,1900/01/01,2019/08/15
25645, ,1900/01/01,2019/06/30
25692, ,1900/01/01,2019/07/06
25701, ,1900/01/01,2019/07/06
25820, ,1900/01/01,2019/07/21
25891, ,1900/01/01,2019/07/28
25994, ,1900/01/01,2019/08/12
26077, ,1900/01/01,2019/08/25
26122, ,1900/01/01,2019/09/01
26207,F,1991/10/11,2019/09/09
26228,M,1900/01/01,2019/09/09
26252, ,1900/01/01,2019/09/16
26370, ,1900/01/01,2019/10/02
26450, ,1900/01/01,2019/10/11
26470, ,1900/01/01,2019/10/11
26471, ,1900/01/01,2019/10/11
26553, ,1900/01/01,2019/08/26
26664, ,1969/03/14,2019/09/01
26746, ,1900/01/01,2019/09/14
26748, ,1900/01/01,2019/09/14
26844, ,1900/01/01,2019/09/22
26992, ,1900/01/01,2019/10/15
27015, ,1900/01/01,2019/10/16
27044, ,1900/01/01,2019/10/17
27333, ,1900/01/01,2019/09/25
27397,M,1984/09/20,2019/09/28
27411, ,1900/01/01,2019/09/28
27494, ,1979/06/28,2019/10/13
27637, ,1900/01/01,2019/08/27
27672,F,1900/01/01,2019/09/03
27974, ,1900/01/01,2019/10/05
28127, ,1900/01/01,2019/11/03
28198,F,1900/01/01,2019/11/11
28338,O,1900/01/01,2019/11/30
28515, ,1900/01/01,2019/12/22
28552, ,1900/01/01,2019/10/24
28661, ,1900/01/01,2019/11/02
28710, ,1900/01/01,2019/11/10
28821, ,1900/01/01,2019/11/27
28924, ,1900/01/01,2019/12/11
28965, ,1900/01/01,2019/12/13
29033, ,1900/01/01,2019/12/21
29178, ,1900/01/01,2019/11/07
29231, ,1900/01/01,2019/11/09
29236, ,1900/01/01,2019/11/09
29291,F,1900/01/01,2019/11/17
29527, ,1900/01/01,2019/12/19
29560, ,1900/01/01,2019/10/19
29625, ,1900/01/01,2019/10/28
29885, ,1900/01/01,2019/11/30
30042, ,1900/01/01,2019/12/17
30191, ,1900/01/01,2020/01/13
30253, ,1900/01/01,2020/01/21
30285, ,1900/01/01,2020/01/22
30293, ,1900/01/01,2020/01/22
30312, ,1900/01/01,2020/01/29
30464, ,1900/01/01,2020/02/10
30678, ,1900/01/01,2020/01/11
30724, ,1900/01/01,2020/01/12
30730, ,1900/01/01,2021/02/08
30795, ,1900/01/01,2020/01/20
30865, ,1900/01/01,2020/02/02
30871, ,1900/01/01,2020/08/05
30962, ,1900/01/01,2020/02/08
31138, ,1900/01/01,2020/01/03
31196, ,1900/01/01,2020/01/10
31218, ,1900/01/01,2020/01/11
31312, ,1900/01/01,2020/01/25
31520, ,1900/01/01,2020/02/14
31723, ,1900/01/01,2020/01/14
31780, ,1986/01/25,2020/01/23
31789, ,1900/01/01,2020/01/23
32061, ,1900/01/01,2020/02/23
32123, ,1900/01/01,2020/03/02
32141,F,1900/01/01,2020/10/17
32236, ,1900/01/01,2020/03/20
32250, ,1900/01/01,2020/03/20
32271, ,1944/11/11,2020/03/25
32277, ,1900/01/01,2020/03/25
32307, ,1900/01/01,2020/03/26
32322, ,1900/01/01,2020/03/26
32374, ,1900/01/01,2020/03/29
32405, ,1900/01/01,2020/04/02
32424, ,1900/01/01,2020/04/03
32485, ,1900/01/01,2020/04/08
32586, ,1900/01/01,2020/02/29
32588, ,1900/01/01,2020/02/29
32651, ,1900/01/01,2020/03/08
32668,O,1900/01/01,2020/03/08
32682, ,1900/01/01,2020/03/09
32730, ,1900/01/01,2020/03/17
32749, ,1900/01/01,2020/03/18
32817, ,1900/01/01,2020/03/25
