PRODUCT_ID,UNIT,LEVEL_1,LEVEL_2,LEVEL_3,LEVEL_4
13,DS,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
13,DS,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
13,DS,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
13,DS,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTIBIOTICS
19,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTI-INFLAMMATORY
19,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTI-INFLAMMATORY
19,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTI-INFLAMMATORY
19,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTI-INFLAMMATORY
19,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTI-INFLAMMATORY
22,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
22,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
22,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
25,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
25,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
25,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
25,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
25,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
25,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
25,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
25,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
25,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
25,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
25,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
25,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
28,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
31,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
31,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
31,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
31,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
31,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
31,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
32,UN,CHILDREN,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
32,UN,CHILDREN,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
32,UN,CHILDREN,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
32,UN,CHILDREN,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
32,UN,CHILDREN,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
33,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
33,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
33,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
33,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
33,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
33,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
33,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
33,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
33,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
33,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
33,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
34,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
34,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
34,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
40,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
40,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
40,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
40,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
40,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
40,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
41,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
41,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
41,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
41,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
41,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
41,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
42,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
42,UN,ADULT,PHARMACY,SKIN AND HAIR,SKIN TREATMENT
44,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
44,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
44,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
44,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
44,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
45,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
45,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
45,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
45,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
45,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
45,UN,ADULT,PHARMACY,OTHER MEDICATIONS,DIGESTIVE TREATMENT
48,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTI-INFLAMMATORY
48,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTI-INFLAMMATORY
48,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTI-INFLAMMATORY
48,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTI-INFLAMMATORY
48,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTI-INFLAMMATORY
48,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTI-INFLAMMATORY
48,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTI-INFLAMMATORY
48,UN,ADULT,PHARMACY,PAIN AND INFECTIONS,ANTI-INFLAMMATORY
50,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
50,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
50,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
50,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
50,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
50,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
50,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
51,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
51,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
51,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
51,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
51,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
52,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
52,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
52,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
52,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
52,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
52,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
52,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
52,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
53,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
53,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
55,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
55,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
55,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
56,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
56,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
56,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
56,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
56,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
56,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
56,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
56,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
57,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
57,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
57,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
57,UN,ADULT,PHARMACY,PARASITES AND INFESTATIONS,ANTI-LICE AND ANTIPARASITIC
