SALE_ID,SALE_DATE,CUSTOMER_ID,PRODUCT_ID,QUANTITY,SALE_CATEGORY,BRANCH
0,2021/02/10,45659.0,17631,1,E-COMMERCE          ,101
0,2021/02/10,45659.0,34575,1,E-COMMERCE          ,101
1,2021/02/12,70766.0,2240,1,E-COMMERCE          ,101
2,2021/02/12,42579.0,17707,1,E-COMMERCE          ,101
2,2021/02/12,42579.0,8952,1,E-COMMERCE          ,101
2,2021/02/12,42579.0,26107,2,E-COMMERCE          ,101
2,2021/02/12,42579.0,21673,2,E-COMMERCE          ,101
3,2021/02/12,72267.0,3425,1,E-COMMERCE          ,101
4,2021/02/15,70878.0,12985,1,E-COMMERCE          ,101
5,2021/02/15,70888.0,32293,1,E-COMMERCE          ,101
5,2021/02/15,70888.0,23118,1,E-COMMERCE          ,101
6,2021/02/15,70889.0,3477,1,E-COMMERCE          ,101
6,2021/02/15,70889.0,18813,1,E-COMMERCE          ,101
7,2021/02/15,70880.0,23883,1,E-COMMERCE          ,101
7,2021/02/15,70880.0,26583,2,E-COMMERCE          ,101
8,2021/02/15,11229.0,31653,1,E-COMMERCE          ,101
8,2021/02/15,11229.0,27794,1,E-COMMERCE          ,101
9,2021/02/15,9390.0,18688,1,E-COMMERCE          ,101
10,2021/02/16,70897.0,24061,1,E-COMMERCE          ,101
10,2021/02/16,70897.0,24468,1,E-COMMERCE          ,101
10,2021/02/16,70897.0,19510,1,E-COMMERCE          ,101
11,2021/02/16,33968.0,19341,1,E-COMMERCE          ,101
12,2021/02/16,26471.0,7691,1,E-COMMERCE          ,101
12,2021/02/16,26471.0,14474,1,E-COMMERCE          ,101
12,2021/02/16,26471.0,579,1,E-COMMERCE          ,101
13,2021/02/16,60821.0,13012,1,E-COMMERCE          ,101
13,2021/02/16,60821.0,17164,2,E-COMMERCE          ,101
14,2021/02/16,59181.0,21260,1,E-COMMERCE          ,101
15,2021/02/16,33583.0,3468,1,E-COMMERCE          ,101
15,2021/02/16,33583.0,4804,2,E-COMMERCE          ,101
16,2020/09/08,45659.0,11876,1,Loja                ,101
17,2021/02/16,63272.0,4802,1,E-COMMERCE          ,101
17,2021/02/16,63272.0,351,1,E-COMMERCE          ,101
18,2020/09/08,45659.0,4001,1,Loja                ,101
19,2021/02/17,8153.0,23247,1,E-COMMERCE          ,101
20,2020/09/08,45688.0,41,1,Loja                ,101
20,2020/09/08,45688.0,7063,2,Loja                ,101
21,2021/02/17,70966.0,17691,1,E-COMMERCE          ,101
22,2020/09/09,39746.0,619,1,Loja                ,101
23,2021/02/17,39177.0,18218,1,E-COMMERCE          ,101
24,2021/02/17,71478.0,3460,1,E-COMMERCE          ,101
25,2020/09/10,46247.0,27793,1,Loja                ,101
